category_code,brand,views,carts,purchases,view_to_cart_rate,cart_to_purchase_rate,overall_conversion_rate,min_price,max_price,avg_price
construction.tools.light,samsung,4135,251,264,0.0607,1.0518,0.0638,92.41,2236.35,386.1701113
construction.tools.light,apple,1838,201,163,0.1094,0.8109,0.0887,397.1,1979.46,866.2598022
construction.tools.light,xiaomi,1683,112,88,0.0665,0.7857,0.0523,92.64,573.76,234.2936822
construction.tools.light,huawei,1144,47,40,0.0411,0.8511,0.035,87.26,900.64,228.4293849
accessories.bag,rondell,1008,10,0,0.0099,0,0,25.71,72.05,43.81034018
Unknown,Unknown,777,40,14,0.0515,0.35,0.018,0,2574.07,178.9052799
sport.trainer,Unknown,352,18,3,0.0511,0.1667,0.0085,0,1413.16,243.0972072
construction.tools.light,oppo,346,21,18,0.0607,0.8571,0.052,140.28,849.44,315.9408372
electronics.clocks,Unknown,320,8,2,0.025,0.25,0.0063,16.99,2574.07,383.6638619
kids.toys,Unknown,314,9,6,0.0287,0.6667,0.0191,0,2080.54,135.0327009
sport.bicycle,apple,313,41,35,0.131,0.8537,0.1118,25.2,306.75,191.4544211
furniture.living_room.sofa,Unknown,310,3,2,0.0097,0.6667,0.0065,1.42,2573.3,648.2135339
sport.bicycle,xiaomi,307,21,10,0.0684,0.4762,0.0326,5.77,78.56,28.62126781
furniture.living_room.sofa,rals,277,1,0,0.0036,0,0,283.05,860.85,687.2621308
computers.peripherals.printer,Unknown,247,8,9,0.0324,1.125,0.0364,0,2572.23,290.7909564
apparel.underwear,rieker,242,0,0,0,,0,46.08,107.85,93.15448753
construction.tools.light,meizu,228,6,2,0.0263,0.3333,0.0088,68.21,402.41,148.1554769
apparel.shorts,Unknown,225,5,4,0.0222,0.8,0.0178,7.72,2483.72,714.6768219
sport.trainer,rivertoys,221,6,0,0.0271,0,0,65.64,422.15,250.2065796
appliances.kitchen.refrigerators,Unknown,207,11,5,0.0531,0.4545,0.0242,34.47,1776.11,272.6335625
apparel.scarf,silverlit,204,4,0,0.0196,0,0,7.7,45.82,9.724611399
appliances.kitchen.coffee_grinder,lucente,191,12,16,0.0628,1.3333,0.0838,131.28,1050.48,412.7624476
Unknown,force,185,7,8,0.0378,1.1429,0.0432,27.03,214.91,113.4678571
furniture.bedroom.bed,Unknown,182,10,7,0.0549,0.7,0.0385,10.3,1676.49,174.5925906
computers.peripherals.printer,lucente,181,4,13,0.0221,3.25,0.0718,55.09,518.16,177.8648786
appliances.personal.massager,samsung,180,9,5,0.05,0.5556,0.0278,102.71,2574.04,572.1153861
apparel.scarf,Unknown,178,9,0,0.0506,0,0,3.09,821.13,27.75707547
accessories.umbrella,Unknown,173,0,0,0,,0,5.21,1297.33,1037.955119
construction.components.faucet,Unknown,171,9,10,0.0526,1.1111,0.0585,0,1913,206.262044
electronics.camera.video,nokia,169,4,2,0.0237,0.5,0.0118,18.02,128.45,62.21959786
